Name,Task ID,Milestone,Area,Priority,Sprint Plan,Status,Plan,Type,Depends On,Acceptance,Source,Source Path,Source Commit
[TWN-0610] Verify paid-call cost logging at response success time,TWN-0610,Milestone 6 - Retail Commerce And Manual Payment,Operations,Critical,Sprint 12,Backlog,Shared,Review,"TWN-0107, TWN-0609",Every successful paid API call is ledgered before parsing and reconciles to the staging run,https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
"[TWN-0611] Implement LINE webhook verification, normalization, and idempotency",TWN-0611,Milestone 6 - Retail Commerce And Manual Payment,LINE,Critical,Sprint 11,Backlog,Standard,Task,"TWN-0106, TWN-0302, TWN-0310",Invalid signatures fail; retries map to one store-scoped inbound event and one processing result,https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-0612] Implement LINE inbound text and protected media handling,TWN-0612,Milestone 6 - Retail Commerce And Manual Payment,LINE,High,Sprint 11,Backlog,Standard,Task,"TWN-0401, TWN-0611","Text, images, and slips enforce type/size limits, private storage, retention, and Store Context",https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
"[TWN-0613] Implement LINE replies, Flex delivery, results, and retries",TWN-0613,Milestone 6 - Retail Commerce And Manual Payment,LINE,Critical,Sprint 12,Backlog,Standard,Task,"TWN-0511, TWN-0612, TWN-0616",Customer replies and staff alerts record delivery state; retries are idempotent and failures create follow-up work,https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-0614] Implement store-scoped published-knowledge and Customer Memory retrieval,TWN-0614,Milestone 6 - Retail Commerce And Manual Payment,Platform,Critical,Sprint 12,Backlog,Standard,Task,"TWN-0412, TWN-0501",Retrieval uses only current approved knowledge and permitted store-local memory with provenance and validity evidence,https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-0615] Implement response planning and deterministic command validation,TWN-0615,Milestone 6 - Retail Commerce And Manual Payment,Platform,Critical,Sprint 12,Backlog,Standard,Task,"TWN-0504, TWN-0603, TWN-0614","Model output cannot bypass authorization, price, stock, approval, idempotency, or command-schema validation",https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-0616] Implement no-answer and unsafe-action fail-to-human orchestration,TWN-0616,Milestone 6 - Retail Commerce And Manual Payment,Platform,Critical,Sprint 12,Backlog,Standard,Task,"TWN-0503, TWN-0615","Unknown, conflicting, stale, unauthorized, or low-confidence cases ask safely or create one accountable Task without guessing",https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-0617] Complete retail commerce and LINE exit review,TWN-0617,Milestone 6 - Retail Commerce And Manual Payment,Security,Critical,Sprint 12,Backlog,Standard,Review,TWN-0601 through TWN-0616,"Catalog, price, Order, reservation, payment, orchestration, LINE transport, full staging journey, and paid-call ledger pass",https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
"[TWN-0701] Verify dashboard repository, deployment target, and authentication",TWN-0701,Milestone 7 - Core Dashboard,Dashboard,Critical,Sprint 13,Backlog,Standard,Research,TWN-0108,"Ownership, stack, environment, session, and Store Context contract are documented",https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-0702] Implement subscription-aware navigation and action authorization,TWN-0702,Milestone 7 - Core Dashboard,Dashboard,Critical,Sprint 13,Backlog,Standard,Task,"TWN-0304, TWN-0306, TWN-0701",Standard cannot access Campaign controls; roles and Capabilities gate every action server-side,https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-0703] Build Overview and urgent-work queue,TWN-0703,Milestone 7 - Core Dashboard,Dashboard,High,Sprint 13,Backlog,Standard,Task,"TWN-0507, TWN-0702","Owner sees unanswered Customers, payment reviews, low stock, and overdue follow-up with stable loading states",https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
"[TWN-0704] Build Customer list, profile, Journey, and interaction history",TWN-0704,Milestone 7 - Core Dashboard,Dashboard,High,Sprint 13,Backlog,Standard,Task,"TWN-0501, TWN-0702",Authorized staff can find a store-local Customer and inspect Journey progress and structured history,https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-0705] Build Transaction and payment-review views,TWN-0705,Milestone 7 - Core Dashboard,Dashboard,Critical,Sprint 14,Backlog,Standard,Task,"TWN-0608, TWN-0702",Authorized staff inspect Transactions and evidence while owner-only payment decisions remain protected,https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-0706] Build Catalog and Service management views,TWN-0706,Milestone 7 - Core Dashboard,Dashboard,High,Sprint 14,Backlog,Standard,Task,"TWN-0601, TWN-0702",Authorized staff inspect and maintain store-scoped commercial facts without database access,https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-0707] Build Settings and staff-access views,TWN-0707,Milestone 7 - Core Dashboard,Dashboard,High,Sprint 15,Backlog,Standard,Task,"TWN-0306, TWN-0312, TWN-0702","Staff access, payment, Channel, retention, notifications, timezone, and closing schedule work",https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
"[TWN-0708] Validate responsive, accessible, empty, error, retry, and unauthorized states",TWN-0708,Milestone 7 - Core Dashboard,Dashboard,High,Sprint 15,Backlog,Standard,Review,"TWN-0703 through TWN-0707, TWN-0709 through TWN-0712",Phone and desktop screenshots plus browser tests cover critical owner/staff journeys,https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-0709] Build approval and sales-opportunity queues,TWN-0709,Milestone 7 - Core Dashboard,Dashboard,High,Sprint 13,Backlog,Standard,Task,"TWN-0504, TWN-0509, TWN-0702","Owner can act on knowledge, price, payment, Tier, staff, and high-value opportunity records",https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
"[TWN-0710] Build Customer Memory, Tier, and consent controls",TWN-0710,Milestone 7 - Core Dashboard,Dashboard,High,Sprint 14,Backlog,Standard,Task,"TWN-0407, TWN-0509, TWN-0704","Correction, deletion, consent, Tier review/override, and audit evidence are available",https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
"[TWN-0711] Build Task, assignment, escalation, and approval-history views",TWN-0711,Milestone 7 - Core Dashboard,Dashboard,High,Sprint 14,Backlog,Standard,Task,"TWN-0507, TWN-0511, TWN-0702","Staff work queues, notification results, overdue states, and owner decisions are inspectable",https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-0712] Build Tawan Brain candidate and digest review views,TWN-0712,Milestone 7 - Core Dashboard,Dashboard,High,Sprint 15,Backlog,Standard,Task,"TWN-0405, TWN-0702","Source conflicts, candidates, approval history, expiry, supersession, and review digest are inspectable",https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-0713] Complete Core Dashboard exit review,TWN-0713,Milestone 7 - Core Dashboard,Dashboard,Critical,Sprint 15,Backlog,Standard,Review,TWN-0701 through TWN-0712,Role and entitlement tests plus phone/desktop evidence cover every Phase 1 owner/staff workflow,https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-0801] Define versioned commerce and service event taxonomy,TWN-0801,Milestone 8 - Standard Analytics,Analytics,High,Sprint 16,Backlog,Standard,Task,TWN-0506,"View, interest, checkout, purchase, refund, promotion, and module events have documented schemas",https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-0802] Implement store-scoped event ingestion and idempotency,TWN-0802,Milestone 8 - Standard Analytics,Analytics,Critical,Sprint 16,Backlog,Standard,Task,"TWN-0307, TWN-0801",Replays do not double-count and Customer-level events never cross stores,https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-0803] Implement hourly projections and store-local daily close,TWN-0803,Milestone 8 - Standard Analytics,Analytics,High,Sprint 16,Backlog,Standard,Task,"TWN-0306, TWN-0802",Provisional and finalized totals are distinguishable and timezone-correct,https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
"[TWN-0804] Implement revenue, units, and average-value measures",TWN-0804,Milestone 8 - Standard Analytics,Analytics,High,Sprint 17,Backlog,Standard,Task,"TWN-0608, TWN-0802",Measures reconcile to confirmed Transaction records and expose definitions,https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-0805] Implement commerce funnel and repeat-purchase measures,TWN-0805,Milestone 8 - Standard Analytics,Analytics,High,Sprint 17,Backlog,Standard,Task,"TWN-0506, TWN-0802",Metric definitions are inspectable and results reconcile to Interaction Events and Transactions,https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
"[TWN-0806] Test Standard entitlement, reconciliation, late events, and partial failures",TWN-0806,Milestone 8 - Standard Analytics,Analytics,Critical,Sprint 17,Backlog,Standard,Review,"TWN-0803 through TWN-0805, TWN-0809 through TWN-0812",Standard has no Campaign execution/attribution interface and analytics failure cannot block commerce,https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-0807] Build Standard operational analytics dashboard,TWN-0807,Milestone 8 - Standard Analytics,Dashboard,High,Sprint 17,Backlog,Standard,Task,"TWN-0702, TWN-0804, TWN-0805",Owners can inspect reconciled operational measures and definitions without Campaign controls or attribution,https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-0808] Complete Standard Analytics exit review,TWN-0808,Milestone 8 - Standard Analytics,Analytics,Critical,Sprint 17,Backlog,Standard,Review,"TWN-0801 through TWN-0807, TWN-0809 through TWN-0812","Event, projection, measure, reconciliation, entitlement, failure-isolation, and dashboard evidence pass",https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-0809] Implement refund and cancellation measures,TWN-0809,Milestone 8 - Standard Analytics,Analytics,High,Sprint 17,Backlog,Standard,Task,"TWN-0608, TWN-0802","Measures distinguish refund, dispute, failure, and cancellation states and reconcile to Transactions",https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-0810] Implement stock availability and movement measures,TWN-0810,Milestone 8 - Standard Analytics,Analytics,High,Sprint 17,Backlog,Standard,Task,"TWN-0604, TWN-0802","On-hand, reserved, available, released, and completed movements reconcile to inventory records",https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-0811] Implement response-time and escalation measures,TWN-0811,Milestone 8 - Standard Analytics,Analytics,High,Sprint 16,Backlog,Standard,Task,"TWN-0506, TWN-0802","Store-local definitions and results reconcile to Interaction, Task, and notification events",https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-0812] Implement unresolved-Journey and staff-workload measures,TWN-0812,Milestone 8 - Standard Analytics,Analytics,High,Sprint 16,Backlog,Standard,Task,"TWN-0506, TWN-0802","Open state, ageing, assignment, overdue work, and completion reconcile to Journey and Task records",https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
"[TWN-0901] Validate restaurant modifiers, preparation, slots, and substitutions",TWN-0901,Milestone 9 - Multi-Business Validation,Product,Medium,Sprint 18,Backlog,Standard,Review,TWN-0609,Synthetic scenario maps cleanly to shared entities plus a documented module extension,https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
"[TWN-0902] Validate beauty service duration, resources, booking, and no-show",TWN-0902,Milestone 9 - Multi-Business Validation,Product,Medium,Sprint 18,Backlog,Standard,Review,TWN-0609,Capacity and booking states preserve shared Transaction invariants,https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
"[TWN-0903] Validate wholesale quotation, quantity price, validity, and Order conversion",TWN-0903,Milestone 9 - Multi-Business Validation,Product,Medium,Sprint 18,Backlog,Standard,Review,TWN-0609,Versioned Quotation acceptance converts exactly once with approved price authority,https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
"[TWN-0904] Validate construction lead, quotation, project, milestone, change, and progress payment",TWN-0904,Milestone 9 - Multi-Business Validation,Product,High,Sprint 18,Backlog,Standard,Review,TWN-0609,"Project lifecycle supports BOQ, deposits, change orders, materials, receivables, and audit history",https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-0905] Review common-model pressure and document required extensions,TWN-0905,Milestone 9 - Multi-Business Validation,Data,High,Sprint 18,Backlog,Shared,Decision,TWN-0901 through TWN-0904,No unrelated nullable fields or bypassed invariant remains; extensions are approved before implementation,https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-1001] Complete processing inventory and controller/processor role matrix,TWN-1001,"Milestone 10 - Compliance, Recovery, And Pilot Readiness",Legal,Critical,Sprint 19,Backlog,Shared,Task,TWN-0108,"Each purpose records basis, data, recipients, retention, security, actual role, and unresolved allocation",https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
"[TWN-1002] Obtain Thai counsel approval for privacy, DPA, marketing, transfer, retention, and export terms",TWN-1002,"Milestone 10 - Compliance, Recovery, And Pilot Readiness",Legal,Critical,Sprint 20,Backlog,Shared,Review,"TWN-1001, TWN-1011 through TWN-1013, TWN-1017 through TWN-1021",Written approval or required changes are recorded before real customer data,https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-1003] Implement verified rights-request intake and workflow routing,TWN-1003,"Milestone 10 - Compliance, Recovery, And Pilot Readiness",Security,Critical,Sprint 20,Backlog,Standard,Task,"TWN-0407, TWN-1001","Identity verification, request type, deadlines, systems, decisions, and audit evidence are tracked",https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-1004] Implement ordinary store-data export and offboarding grace period,TWN-1004,"Milestone 10 - Compliance, Recovery, And Pilot Readiness",Operations,High,Sprint 20,Backlog,Standard,Task,"TWN-1001, TWN-1003","Raw records, memory, Tiers, Journeys, Tasks, consent, approved knowledge, and stored customer outputs export without a paid lock; generated files expire safely",https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-1005] Implement retention schedules and legal holds,TWN-1005,"Milestone 10 - Compliance, Recovery, And Pilot Readiness",Data,Critical,Sprint 20,Backlog,Standard,Task,"TWN-0408, TWN-1001","Platform bounds enforce approved minimums/maximums and holds record authority, scope, owner, expiry, and review",https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
"[TWN-1006] Rehearse backup restore, migration rollback, and credential rotation",TWN-1006,"Milestone 10 - Compliance, Recovery, And Pilot Readiness",Operations,Critical,Sprint 21,Backlog,Shared,Review,"TWN-0203, TWN-0107",Recovery objectives are measured and failures have owners and runbooks,https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
"[TWN-1007] Test duplicate webhooks, partial failures, incident response, and breach timing",TWN-1007,"Milestone 10 - Compliance, Recovery, And Pilot Readiness",Security,Critical,Sprint 21,Backlog,Shared,Review,"TWN-0307, TWN-0507, TWN-0608",Tabletop proves fast processor notice and supports the controller's 72-hour assessment deadline,https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
"[TWN-1008] Run dependency, secret, performance, and plan-cost reviews",TWN-1008,"Milestone 10 - Compliance, Recovery, And Pilot Readiness",Operations,High,Sprint 22,Backlog,Shared,Review,"TWN-0610, TWN-0708, TWN-0806, TWN-0807",No critical/high finding remains and per-store/conversation cost is measured at proposed limits,https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
"[TWN-1009] Complete independent architecture, code, security, and specification review",TWN-1009,"Milestone 10 - Compliance, Recovery, And Pilot Readiness",Security,Critical,Sprint 22,Backlog,Shared,Review,TWN-1002 through TWN-1008,No unresolved release-blocking finding and all accepted risks have owners,https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-1010] Run pilot acceptance and obtain product/technical sign-off,TWN-1010,"Milestone 10 - Compliance, Recovery, And Pilot Readiness",Operations,Critical,Sprint 22,Backlog,Standard,Review,"TWN-0207, TWN-0313, TWN-0412, TWN-0512, TWN-0617, TWN-0713, TWN-0808, TWN-0905, TWN-1009, TWN-1014, TWN-1015, TWN-1022, TWN-1023",All Phase 1 criteria pass with no unowned alert or manual step,https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-1011] Draft layered Thai privacy notices and consent/objection language,TWN-1011,"Milestone 10 - Compliance, Recovery, And Pilot Readiness",Legal,Critical,Sprint 19,Backlog,Shared,Task,TWN-1001,"Customer, staff, owner, memory, payment, analytics, and marketing notices are purpose-specific and channel-appropriate",https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
"[TWN-1012] Create subprocessor register, transfer schedule, and provider-change control",TWN-1012,"Milestone 10 - Compliance, Recovery, And Pilot Readiness",Legal,Critical,Sprint 19,Backlog,Shared,Task,TWN-1001,"Providers, locations, purposes, safeguards, notice process, and owner objections are current and reviewable",https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-1013] Complete and document DPO appointment assessment,TWN-1013,"Milestone 10 - Compliance, Recovery, And Pilot Readiness",Legal,High,Sprint 19,Backlog,Shared,Decision,TWN-1001,"Decision cites actual monitoring and processing facts, reviewer, date, trigger for reassessment, and counsel question",https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
"[TWN-1014] Implement access, portability, and correction fulfilment",TWN-1014,"Milestone 10 - Compliance, Recovery, And Pilot Readiness",Security,Critical,Sprint 21,Backlog,Standard,Task,"TWN-1003, TWN-1004",Verified requests return or correct scoped data across active systems with completion evidence,https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-1015] Implement verified deletion fulfilment,TWN-1015,"Milestone 10 - Compliance, Recovery, And Pilot Readiness",Security,Critical,Sprint 21,Backlog,Standard,Task,"TWN-1003, TWN-1005, TWN-1022","Deletion propagates to active systems, indexes, queues, objects, and suppression-safe tombstones subject to legal holds",https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-1016] Implement paid value-added summary export as a separate service,TWN-1016,"Milestone 10 - Compliance, Recovery, And Pilot Readiness",Operations,Medium,Sprint 23,Backlog,Custom B2B,Task,TWN-1004,"Pricing gates only newly commissioned analysis; existing records, memories, Tiers, scores, summaries, and other stored customer outputs remain available without purchase",https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-1017] Draft Store agreement and controller-processor DPA,TWN-1017,"Milestone 10 - Compliance, Recovery, And Pilot Readiness",Legal,Critical,Sprint 19,Backlog,Shared,Task,TWN-1001,"Instructions, roles, security, subprocessors, assistance, deletion/return, audit, incident, and liability terms are reviewable",https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-1018] Draft approved retention and deletion schedule,TWN-1018,"Milestone 10 - Compliance, Recovery, And Pilot Readiness",Legal,Critical,Sprint 19,Backlog,Shared,Task,TWN-1001,"Each data class records purpose, authority, minimum, maximum, trigger, hold handling, and deletion method",https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-1019] Draft incident and personal-data-breach procedure,TWN-1019,"Milestone 10 - Compliance, Recovery, And Pilot Readiness",Legal,Critical,Sprint 19,Backlog,Shared,Task,TWN-1001,"Detection, containment, evidence, processor notice, 72-hour assessment support, communication, and ownership are defined",https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-1020] Complete direct-marketing lawful-basis and channel assessment,TWN-1020,"Milestone 10 - Compliance, Recovery, And Pilot Readiness",Legal,Critical,Sprint 20,Backlog,Shared,Decision,TWN-1001,"LINE consent, objection, suppression, analytics use, Tier use, and Pro Campaign conditions have counsel questions and owners",https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
"[TWN-1021] Draft export, suspension, termination, and offboarding terms",TWN-1021,"Milestone 10 - Compliance, Recovery, And Pilot Readiness",Legal,High,Sprint 20,Backlog,Shared,Task,TWN-1001,"Ordinary export, paid generated analysis, grace period, deletion, legal holds, and service termination are distinguished",https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-1022] Implement deletion propagation jobs and evidence,TWN-1022,"Milestone 10 - Compliance, Recovery, And Pilot Readiness",Data,Critical,Sprint 21,Backlog,Standard,Task,TWN-1005,"Database, objects, indexes, caches, queues, and backup expiry produce verifiable completion or exception evidence",https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
"[TWN-1023] Implement restriction, consent withdrawal, and objection fulfilment",TWN-1023,"Milestone 10 - Compliance, Recovery, And Pilot Readiness",Security,Critical,Sprint 21,Backlog,Standard,Task,"TWN-1003, TWN-1005",Processing and outbound contact stop at the correct scope while legally required records remain protected and auditable,https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-1100] Approve separate Pro Campaign and intelligence scope,TWN-1100,Post-Phase-1 Milestone 11 - Pro Campaigns And Intelligence,Product,Critical,Sprint 23,Backlog,Pro,Decision,"TWN-1010, explicit product-owner approval","Scope, pricing boundary, legal conditions, success measures, and launch authorization are recorded before implementation",https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-1101] Implement Pro entitlement for Campaign and intelligence interfaces,TWN-1101,Post-Phase-1 Milestone 11 - Pro Campaigns And Intelligence,Platform,Critical,Sprint 24,Backlog,Pro,Task,TWN-1100,"Server-side gates prevent Standard drafting, scheduling, sending, personalization, and attribution",https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
"[TWN-1102] Implement Campaign consent, objection, suppression, quiet hours, caps, and cooldown",TWN-1102,Post-Phase-1 Milestone 11 - Pro Campaigns And Intelligence,Campaign,Critical,Sprint 24,Backlog,Pro,Task,"TWN-1101, TWN-1002",Store/purpose/Channel consent is enforced and STOP suppresses scheduled and active delivery immediately,https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
"[TWN-1103] Implement Campaign draft, commercial envelope, and owner approval",TWN-1103,Post-Phase-1 Milestone 11 - Pro Campaigns And Intelligence,Campaign,Critical,Sprint 24,Backlog,Pro,Task,"TWN-1101, TWN-0504","Tawan cannot change approved products, prices, dates, audience rules, budget, or limits",https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-1104] Implement eligible-audience selection and Campaign scheduler,TWN-1104,Post-Phase-1 Milestone 11 - Pro Campaigns And Intelligence,Campaign,Critical,Sprint 24,Backlog,Pro,Task,"TWN-1102, TWN-1103","Ineligible, suppressed, capped, out-of-window, and expired Customers are excluded before scheduling",https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-1105] Implement Campaign result tracking and inspectable attribution,TWN-1105,Post-Phase-1 Milestone 11 - Pro Campaigns And Intelligence,Analytics,High,Sprint 25,Backlog,Pro,Task,"TWN-0802, TWN-1104","Attribution window, reason, event path, and reconciliation are visible",https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
[TWN-1106] Implement RFM and owner-defined Customer segmentation,TWN-1106,Post-Phase-1 Milestone 11 - Pro Campaigns And Intelligence,Analytics,High,Sprint 25,Backlog,Pro,Task,"TWN-0806, TWN-1101","Outputs record version, evidence window, explanation, store scope, and insufficient-data state",https://github.com/duplyofficial-thay/duply-creator,docs/tawan/TASK_BREAKDOWN.md,c0c1a22cd7af01af0362305ca823f1c0721ed387
